           Exposure                          Description                       Date                 Temp
20221216_0000019_01                             parallel 2022-12-16T06:59:33.314602     4.54222222222222
20221216_0000020_01                             parallel 2022-12-16T07:11:08.124086     4.37777777777778
20221216_0000021_01                             parallel 2022-12-16T07:31:45.150029                4.745
20221216_0000022_01                             parallel 2022-12-16T07:44:32.360750     4.74833333333333
20221216_0000023_01                             parallel 2022-12-16T07:58:41.921655     4.70944444444444
20221216_0000024_01                             parallel 2022-12-16T08:11:35.822808     4.81055555555556
20221216_0000025_01                                 bias 2022-12-16T12:10:08.407116     2.60833333333333
20221216_0000026_01                                 Cd-A 2022-12-16T12:15:41.011181     2.64277777777778
20221216_0000027_01                                   Hg 2022-12-16T12:17:03.934345     2.59888888888889
20221216_0000028_01                                 dark 2022-12-16T23:50:28.914589     2.14944444444444
20221216_0000028_02                                 dark 2022-12-16T23:50:28.914589     2.14944444444444
20221216_0000028_03                                 dark 2022-12-16T23:50:28.914589     2.14944444444444
20221217_0000001_01                            ldls_long 2022-12-17T00:12:18.346259     2.34666666666666
20221217_0000001_02                            ldls_long 2022-12-17T00:12:18.346259     2.34666666666666
20221217_0000001_03                            ldls_long 2022-12-17T00:12:18.346259     2.34666666666666
20221217_0000002_01                                 Cd-A 2022-12-17T00:16:29.341703     2.15222222222222
20221217_0000002_02                                 Cd-A 2022-12-17T00:16:29.341703     2.15222222222222
20221217_0000002_03                                 Cd-A 2022-12-17T00:16:29.341703     2.15222222222222
20221217_0000003_01                                   Hg 2022-12-17T00:20:40.146743     2.02833333333333
20221217_0000003_02                                   Hg 2022-12-17T00:20:40.146743     2.02833333333333
20221217_0000003_03                                   Hg 2022-12-17T00:20:40.146743     2.02833333333333
20221217_0000004_01                                 bias 2022-12-17T00:26:07.138047     1.95833333333333
20221217_0000004_02                                 bias 2022-12-17T00:26:07.138047     1.95833333333333
20221217_0000004_03                                 bias 2022-12-17T00:26:07.138047     1.95833333333333
20221217_0000004_04                                 bias 2022-12-17T00:26:07.138047     1.95833333333333
20221217_0000004_05                                 bias 2022-12-17T00:26:07.138047     1.95833333333333
20221217_0000004_06                                 bias 2022-12-17T00:26:07.138047     1.95833333333333
20221217_0000004_07                                 bias 2022-12-17T00:26:07.138047     1.95833333333333
20221217_0000004_08                                 bias 2022-12-17T00:26:07.138047     1.95833333333333
20221217_0000004_09                                 bias 2022-12-17T00:26:07.138047     1.95833333333333
20221217_0000004_10                                 bias 2022-12-17T00:26:07.138047     1.95833333333333
20221217_0000004_11                                 bias 2022-12-17T00:26:07.138047     1.95833333333333
20221217_0000005_01                             parallel 2022-12-17T11:14:05.085596    0.809444444444445
20221217_0000006_01                             parallel 2022-12-17T11:54:00.415980    0.861666666666668
20221217_0000007_01                             parallel 2022-12-17T12:33:28.522824    0.791666666666665
20221217_0000008_01                                 bias 2022-12-17T12:47:25.999487    0.418333333333333
20221217_0000009_01                                 Cd-A 2022-12-17T12:52:58.081201                0.405
20221217_0000010_01                                   Hg 2022-12-17T12:54:21.838585    0.383333333333332
20221217_0000012_01                                 dark 2022-12-17T23:02:37.873348     7.74611111111111
20221217_0000012_02                                 dark 2022-12-17T23:02:37.873348     7.74611111111111
20221217_0000012_03                                 dark 2022-12-17T23:02:37.873348     7.74611111111111
20221218_0000001_01                              skyflat 2022-12-18T00:22:39.271610     5.24722222222222
